w,c,r_ind,R_ind,sigma_hat_risky,sigma_hat_ind,kappa,e,kappa_lev,MA_long,MA_short
1.5,-0.5,[0.00898227],[1.08092013],[0.00694796],[0.00912245],[0.99941843],[-0.0351823],0.0,[1.08092013],[1.08092013]
1.5,-0.5,[0.00334483],[1.08453562],[0.00693093],[0.00910076],[0.99970921],[-0.03756264],0.0,[1.08453562],[1.08453562]
1.5,-0.5,[-0.01371345],[1.0696629],[0.00694464],[0.00913243],[0.99985461],[-0.03408886],0.0,[1.0696629],[1.0696629]
1.5,-0.5,[-0.00615217],[1.06308214],[0.00693206],[0.00911874],[0.9999273],[-0.03558956],0.0,[1.06308214],[1.06308214]
1.5,-0.5,[0.00326692],[1.06655515],[0.00691498],[0.0090969],[0.99996365],[-0.03798667],0.0,[1.06655515],[1.06655515]
1.5,-0.5,[0.00176644],[1.06843916],[0.00689658],[0.00907286],[0.99998183],[-0.04063373],0.0,[1.06843916],[1.06843916]
1.5,-0.5,[0.01393149],[1.08332411],[0.00691232],[0.00910659],[0.99999091],[-0.0369224],0.0,[1.08332411],[1.08332411]
1.5,-0.5,[0.0060682],[1.08989794],[0.0069],[0.00909269],[0.99999546],[-0.03845005],0.0,[1.08989794],[1.08989794]
1.5,-0.5,[0.00060612],[1.09055855],[0.00688112],[0.00906782],[0.99999773],[-0.04118884],0.0,[1.09055855],[1.09055855]
1.5,-0.5,[0.0035503],[1.09443035],[0.00686455],[0.00904673],[0.99999886],[-0.04351719],0.0,[1.09443035],[1.09443035]
1.5,-0.5,[0.00173374],[1.09632781],[0.00684627],[0.00902279],[0.99999943],[-0.04616694],0.0,[1.09632781],[1.09632781]
1.5,-0.5,[-0.00390743],[1.09204398],[0.00683009],[0.00900266],[0.99999972],[-0.04840089],0.0,[1.09204398],[1.09204398]
1.5,-0.5,[0.00705227],[1.09974536],[0.00682041],[0.00899311],[0.99999986],[-0.04946198],0.0,[1.09974536],[1.09974536]
1.5,-0.5,[-0.00637633],[1.09273302],[0.00680879],[0.00898083],[0.99999993],[-0.05082814],0.0,[1.09273302],[1.09273302]
1.5,-0.5,[-0.00470706],[1.08758946],[0.00679394],[0.00896294],[0.99999996],[-0.05282195],0.0,[1.08758946],[1.08758946]
1.5,-0.5,[0.01103719],[1.09959339],[0.00679745],[0.00897563],[0.99999998],[-0.0514072],0.0,[1.09959339],[1.09959339]
1.5,-0.5,[0.01287002],[1.11374518],[0.00680885],[0.0090016],[0.99999999],[-0.04851838],0.0,[1.11374518],[1.11374518]
1.5,-0.5,[0.00159694],[1.11552376],[0.00679064],[0.00897765],[1.],[-0.0511826],0.0,[1.11552376],[1.11552376]
1.5,-0.5,[0.00026251],[1.11581659],[0.00677201],[0.00895301],[1.],[-0.05393127],0.0,[1.11581659],[1.11581659]
1.5,-0.5,[-0.00276127],[1.11273553],[0.00675471],[0.00893075],[1.],[-0.05641996],0.0,[1.11273553],[1.11273553]
1.5,-0.5,[-0.00579339],[1.10628902],[0.00674207],[0.00891655],[1.],[-0.05801147],0.0,[1.10628902],[1.10628902]
1.5,-0.5,[0.00341722],[1.11006944],[0.00672575],[0.00889566],[1.],[-0.06035749],0.0,[1.11006944],[1.11006944]
1.5,-0.5,[0.01801076],[1.13006264],[0.00676646],[0.00897098],[1.],[-0.05192619],0.0,[1.13006264],[1.13006264]
1.5,-0.5,[0.00259035],[1.13298991],[0.00674915],[0.00894839],[1.],[-0.05444726],0.0,[1.13298991],[1.13298991]
1.5,-0.5,[-0.00250978],[1.13014634],[0.00673169],[0.00892574],[1.],[-0.05698132],0.0,[1.13014634],[1.13014634]
1.5,-0.5,[0.00137008],[1.13169473],[0.00671357],[0.0089018],[1.],[-0.05966734],0.0,[1.13169473],[1.13169473]
1.5,-0.5,[0.00203272],[1.13399515],[0.00669594],[0.00887862],[1.],[-0.06227453],0.0,[1.13399515],[1.13399515]
1.5,-0.5,[-0.00250889],[1.13115009],[0.00667863],[0.00885618],[1.],[-0.06480531],0.0,[1.13115009],[1.13115009]
1.5,-0.5,[0.01401051],[1.14699807],[0.00669649],[0.00889262],[1.],[-0.06069954],0.0,[1.14699807],[1.14699807]
1.5,-0.5,[0.0032227],[1.15069451],[0.00668008],[0.0088714],[1.],[-0.06308837],0.0,[1.15069451],[1.15069451]
1.5,-0.5,[0.00244751],[1.15351085],[0.00666289],[0.00884888],[1.],[-0.06562945],0.0,[1.15351085],[1.15351085]
1.5,-0.5,[-0.00532518],[1.14736819],[0.00664964],[0.00883339],[1.],[-0.06738242],0.0,[1.14736819],[1.14736819]
1.5,-0.5,[0.00256288],[1.15030876],[0.00663265],[0.00881116],[1.],[-0.06990125],0.0,[1.15030876],[1.15030876]
1.5,-0.5,[0.00146221],[1.15199075],[0.00661487],[0.00878762],[1.],[-0.07257628],0.0,[1.15199075],[1.15199075]
1.5,-0.5,[0.00036516],[1.15241141],[0.00659673],[0.00876353],[1.],[-0.07532251],0.0,[1.15241141],[1.15241141]
1.5,-0.5,[0.00715335],[1.16065501],[0.00658828],[0.0087555],[1.],[-0.07623888],0.0,[1.16065501],[1.16065501]
1.5,-0.5,[0.00461091],[1.16600669],[0.00657425],[0.00873812],[1.],[-0.07822539],0.0,[1.16600669],[1.16600669]
1.5,-0.5,[0.00557473],[1.17250686],[0.00656212],[0.0087239],[1.],[-0.07985485],0.0,[1.17250686],[1.17250686]
1.5,-0.5,[0.00338989],[1.17648153],[0.00654632],[0.00870355],[1.],[-0.08218949],0.0,[1.17648153],[1.17648153]
1.5,-0.5,[-0.00827687],[1.16674394],[0.0065409],[0.00870127],[1.],[-0.08245195],0.0,[1.16674394],[1.16674394]
1.5,-0.5,[-0.00159303],[1.16488528],[0.00652336],[0.00867817],[1.],[-0.08511047],0.0,[1.16488528],[1.16488528]
1.5,-0.5,[-0.00018266],[1.16467251],[0.00650544],[0.00865434],[1.],[-0.08786023],0.0,[1.16467251],[1.16467251]
1.5,-0.5,[-0.01093863],[1.15193259],[0.00650972],[0.00866851],[1.],[-0.08622354],0.0,[1.15193259],[1.15193259]
1.5,-0.5,[-0.0017148],[1.14995725],[0.00649235],[0.00864563],[1.],[-0.08886658],0.0,[1.14995725],[1.14995725]
1.5,-0.5,[-0.0021543],[1.1474799],[0.00647533],[0.00862336],[1.],[-0.0914463],0.0,[1.1474799],[1.1474799]
1.5,-0.5,[0.01759345],[1.16766802],[0.0065162],[0.00869785],[1.],[-0.0828448],0.0,[1.16766802],[1.16766802]
1.5,-0.5,[0.00545865],[1.17404192],[0.00650404],[0.00868338],[1.],[-0.08451045],0.0,[1.17404192],[1.17404192]
1.5,-0.5,[0.00252087],[1.17700153],[0.00648743],[0.00866153],[1.],[-0.08702897],0.0,[1.17700153],[1.17700153]
1.5,-0.5,[-0.00762369],[1.16802843],[0.00648035],[0.00865618],[1.],[-0.08764741],0.0,[1.16802843],[1.16802843]
1.5,-0.5,[0.00166218],[1.16996991],[0.00646311],[0.00863328],[1.],[-0.09029667],0.0,[1.16996991],[1.16996991]
1.5,-0.5,[0.00317548],[1.17368513],[0.00644735],[0.00861277],[1.],[-0.09267456],0.0,[1.17368513],[1.17368513]
1.5,-0.5,[0.01073202],[1.18628114],[0.00645174],[0.00862582],[1.],[-0.09116068],0.0,[1.18628114],[1.18628114]
1.5,-0.5,[0.00389653],[1.19090352],[0.00643701],[0.00860696],[1.],[-0.09334905],0.0,[1.19090352],[1.19090352]
1.5,-0.5,[0.0043136],[1.1960406],[0.00642298],[0.00858926],[1.],[-0.0954076],0.0,[1.1960406],[1.1960406]
1.5,-0.5,[0.00035469],[1.19646482],[0.00640537],[0.00856571],[1.],[-0.09815384],0.0,[1.19646482],[1.19646482]
1.5,-0.5,[0.00088663],[1.19752565],[0.00638794],[0.00854243],[1.],[-0.10087524],0.0,[1.19752565],[1.19752565]
1.5,-0.5,[0.00120597],[1.19896983],[0.00637071],[0.00851943],[1.],[-0.10357121],0.0,[1.19896983],[1.19896983]
1.5,-0.5,[0.0029084],[1.20245691],[0.00635491],[0.00849876],[1.],[-0.10600077],0.0,[1.20245691],[1.20245691]
1.5,-0.5,[-0.0062368],[1.19495742],[0.00634476],[0.00848799],[1.],[-0.10726836],0.0,[1.19495742],[1.19495742]
1.5,-0.5,[-0.02067201],[1.17025526],[0.00640857],[0.00860206],[1.],[-0.09391948],0.0,[1.17025526],[1.17025526]
1.5,-0.5,[0.0062038],[1.17751529],[0.00639848],[0.00859072],[1.],[-0.09523769],0.0,[1.17751529],[1.17751529]
1.5,-0.5,[0.01544412],[1.19570097],[0.00642674],[0.00864317],[1.],[-0.08915174],0.0,[1.19570097],[1.19570097]
1.5,-0.5,[0.00109914],[1.19701521],[0.00640935],[0.00861981],[1.],[-0.09185807],0.0,[1.19701521],[1.19701521]
1.5,-0.5,[-0.00358958],[1.19271843],[0.0063941],[0.00860024],[1.],[-0.09413086],0.0,[1.19271843],[1.19271843]
1.5,-0.5,[0.01178451],[1.20677404],[0.00640336],[0.00862092],[1.],[-0.09172906],0.0,[1.20677404],[1.20677404]
1.5,-0.5,[0.00607459],[1.21410469],[0.00639298],[0.008609],[1.],[-0.09311224],0.0,[1.21410469],[1.21410469]
1.5,-0.5,[-0.00112746],[1.21273584],[0.00637563],[0.00858576],[1.],[-0.09581585],0.0,[1.21273584],[1.21273584]
1.5,-0.5,[-0.00598827],[1.20547365],[0.00636482],[0.00857365],[1.],[-0.09722668],0.0,[1.20547365],[1.20547365]
1.5,-0.5,[0.0016232],[1.20743037],[0.00634789],[0.00855095],[1.],[-0.09987874],0.0,[1.20743037],[1.20743037]
1.5,-0.5,[0.00501164],[1.21348158],[0.00633543],[0.00853553],[1.],[-0.101683],0.0,[1.21348158],[1.21348158]
1.5,-0.5,[-0.00228913],[1.21070376],[0.00631897],[0.00851377],[1.],[-0.10423555],0.0,[1.21070376],[1.21070376]
1.5,-0.5,[0.00225321],[1.21343174],[0.00630266],[0.00849202],[1.],[-0.10679329],0.0,[1.21343174],[1.21343174]
1.5,-0.5,[0.01185508],[1.22781707],[0.00631289],[0.0085141],[1.],[-0.10419691],0.0,[1.22781707],[1.22781707]
1.5,-0.5,[0.0001364],[1.22798454],[0.00629555],[0.00849072],[1.],[-0.10694711],0.0,[1.22798454],[1.22798454]
1.5,-0.5,[-0.00310939],[1.22416626],[0.00628005],[0.00847053],[1.],[-0.10932822],0.0,[1.22416626],[1.22416626]
1.5,-0.5,[0.00171146],[1.22626138],[0.00626342],[0.00844821],[1.],[-0.11196653],0.0,[1.22626138],[1.22626138]
1.5,-0.5,[0.00045101],[1.22681443],[0.00624626],[0.00842506],[1.],[-0.11470958],0.0,[1.22681443],[1.22681443]
1.5,-0.5,[-0.00546363],[1.22011157],[0.00623479],[0.00841166],[1.],[-0.11630175],0.0,[1.22011157],[1.22011157]
1.5,-0.5,[-0.0102174],[1.2076452],[0.00623781],[0.00842263],[1.],[-0.11499919],0.0,[1.2076452],[1.2076452]
1.5,-0.5,[0.00950177],[1.21911997],[0.00623862],[0.00842892],[1.],[-0.11425173],0.0,[1.21911997],[1.21911997]
1.5,-0.5,[0.00870149],[1.22972812],[0.00623655],[0.00843044],[1.],[-0.11407148],0.0,[1.22972812],[1.22972812]
1.5,-0.5,[-0.00248961],[1.22666658],[0.00622056],[0.00840931],[1.],[-0.11658187],0.0,[1.22666658],[1.22666658]
1.5,-0.5,[-0.00533509],[1.2201222],[0.00620891],[0.00839551],[1.],[-0.11822372],0.0,[1.2201222],[1.2201222]
1.5,-0.5,[-0.00408712],[1.21513542],[0.00619503],[0.00837792],[1.],[-0.12032129],0.0,[1.21513542],[1.21513542]
1.5,-0.5,[0.00395178],[1.21993736],[0.00618121],[0.00836003],[1.],[-0.12245883],0.0,[1.21993736],[1.21993736]
1.5,-0.5,[-0.01158671],[1.20580229],[0.00619039],[0.00838112],[1.],[-0.11993884],0.0,[1.20580229],[1.20580229]
1.5,-0.5,[0.00620845],[1.21328846],[0.00618118],[0.00837074],[1.],[-0.12117835],0.0,[1.21328846],[1.21328846]
1.5,-0.5,[-0.00134509],[1.21165648],[0.00616451],[0.00834834],[1.],[-0.12385802],0.0,[1.21165648],[1.21165648]
1.5,-0.5,[0.00395833],[1.21645262],[0.0061508],[0.00833057],[1.],[-0.12598915],0.0,[1.21645262],[1.21645262]
1.5,-0.5,[0.00775725],[1.22588894],[0.00614608],[0.00832753],[1.],[-0.12635389],0.0,[1.22588894],[1.22588894]
1.5,-0.5,[0.01119068],[1.23960748],[0.00615438],[0.00834592],[1.],[-0.12414806],0.0,[1.23960748],[1.23960748]
1.5,-0.5,[-0.00310348],[1.23576038],[0.0061393],[0.00832617],[1.],[-0.12651765],0.0,[1.23576038],[1.23576038]
1.5,-0.5,[-7.29166667e-05],[1.23567027],[0.00612243],[0.0083033],[1.],[-0.12926832],0.0,[1.23567027],[1.23567027]
1.5,-0.5,[-0.004574],[1.23001832],[0.00610966],[0.00828741],[1.],[-0.13118284],0.0,[1.23001832],[1.23001832]
1.5,-0.5,[0.00381294],[1.23470831],[0.0060959],[0.00826947],[1.],[-0.13335015],0.0,[1.23470831],[1.23470831]
1.5,-0.5,[-0.00541486],[1.22802254],[0.00608487],[0.0082565],[1.],[-0.13491969],0.0,[1.22802254],[1.22802254]
1.5,-0.5,[0.00507697],[1.23425718],[0.00607348],[0.0082424],[1.],[-0.13662865],0.0,[1.23425718],[1.23425718]
1.5,-0.5,[0.01061098],[1.24735386],[0.00607973],[0.00825725],[1.],[-0.13482869],0.0,[1.24735386],[1.24735386]
1.5,-0.5,[-0.01640222],[1.22689448],[0.00611641],[0.00832372],[1.],[-0.12681206],0.0,[1.22689448],[1.22689448]
1.5,-0.5,[-0.0019665],[1.2244818],[0.00610033],[0.00830213],[1.],[-0.12940899],0.0,[1.2244818],[1.2244818]
1.5,-0.5,[-0.00112598],[1.22310305],[0.00608379],[0.00827974],[1.],[-0.13210912],0.0,[1.22310305],[1.22310305]
1.5,-0.5,[0.00740855],[1.23216448],[0.00607832],[0.00827521],[1.],[-0.13265635],0.0,[1.23216448],[1.23216448]
1.5,-0.5,[0.00988469],[1.24434404],[0.00608153],[0.00828489],[1.],[-0.13148683],0.0,[1.24434404],[1.24434404]
1.5,-0.5,[0.00909214],[1.25565779],[0.00608169],[0.00828954],[1.],[-0.13092651],0.0,[1.25565779],[1.25565779]
1.5,-0.5,[0.0015832],[1.25764574],[0.00606554],[0.0082676],[1.],[-0.13357676],0.0,[1.25764574],[1.25764574]
1.5,-0.5,[0.00230513],[1.26054478],[0.00605001],[0.00824665],[1.],[-0.13611323],0.0,[1.26054478],[1.26054478]
1.5,-0.5,[-0.00172487],[1.2583705],[0.00603395],[0.00822499],[1.],[-0.13874343],0.0,[1.2583705],[1.2583705]
1.5,-0.5,[0.00364861],[1.2629618],[0.00602018],[0.00820685],[1.],[-0.14095177],0.0,[1.2629618],[1.2629618]
1.5,-0.5,[-0.00275362],[1.25948408],[0.0060051],[0.00818684],[1.],[-0.14339218],0.0,[1.25948408],[1.25948408]
1.5,-0.5,[-0.01029745],[1.24651461],[0.00600985],[0.00819991],[1.],[-0.14179793],0.0,[1.24651461],[1.24651461]
1.5,-0.5,[-0.00475308],[1.24058982],[0.00599779],[0.00818496],[1.],[-0.14362282],0.0,[1.24058982],[1.24058982]
1.5,-0.5,[0.01140109],[1.2547339],[0.00600809],[0.00820604],[1.],[-0.14105003],0.0,[1.2547339],[1.2547339]
1.5,-0.5,[0.00986549],[1.26711246],[0.00601165],[0.00821606],[1.],[-0.13982983],0.0,[1.26711246],[1.26711246]
1.5,-0.5,[0.00239437],[1.27014639],[0.00599638],[0.00819541],[1.],[-0.14234646],0.0,[1.27014639],[1.27014639]
1.5,-0.5,[0.00044066],[1.27070609],[0.00597996],[0.00817296],[1.],[-0.14508933],0.0,[1.27070609],[1.27070609]
1.5,-0.5,[0.0020821],[1.27335184],[0.00596448],[0.00815197],[1.],[-0.14766119],0.0,[1.27335184],[1.27335184]
1.5,-0.5,[-0.00120002],[1.27182379],[0.00594836],[0.00813006],[1.],[-0.15035226],0.0,[1.27182379],[1.27182379]
1.5,-0.5,[-0.00140687],[1.2700345],[0.00593238],[0.0081084],[1.],[-0.15302051],0.0,[1.2700345],[1.2700345]
1.5,-0.5,[-0.00479435],[1.26394551],[0.00592068],[0.00809392],[1.],[-0.15480789],0.0,[1.26394551],[1.26394551]
1.5,-0.5,[-0.00141227],[1.26216048],[0.00590478],[0.00807236],[1.],[-0.15747476],0.0,[1.26216048],[1.26216048]
1.5,-0.5,[-0.05903042],[1.18765461],[0.00656896],[0.009161],[1.],[-0.03096529],0.0,[1.18765461],[1.18765461]
1.5,-0.5,[0.01591059],[1.2065509],[0.0065983],[0.00921154],[1.],[-0.02546414],0.0,[1.2065509],[1.2065509]
1.5,-0.5,[-0.00538093],[1.20005853],[0.00658539],[0.00919487],[1.],[-0.0272746],0.0,[1.20005853],[1.20005853]
1.5,-0.5,[-0.0185033],[1.17785348],[0.00663007],[0.00927148],[0.97445098],[-0.01897804],0.0,[1.17785348],[1.17785348]
1.5,-0.5,[-0.01582056],[1.15921918],[0.00665742],[0.00931997],[0.83125143],[-0.01376104],0.0,[1.15921918],[1.15921918]
1.5,-0.5,[0.0263063],[1.18971394],[0.00676572],[0.00949643],[0.29075273],[0.00499492],0.0,[1.18971394],[1.18971394]
1.5,-0.5,[-0.00307234],[1.18605874],[0.00674876],[0.00947307],[0.08205821],[0.00253273],0.0,[1.18605874],[1.18605874]
[1.27748992],[-0.27748992],[0.01334338],[1.20188477],[0.00676275],[0.00949861],[-0.08959463],[0.00522495],0.0,[1.20188477],[1.20188477]
[1.25934405],[-0.25934405],[-4.03901991e-05],[1.20183623],[0.00674417],[0.00947252],[-0.10665162],[0.00247417],0.0,[1.20183623],[1.20183623]
[1.33263487],[-0.33263487],[0.00282075],[1.20522631],[0.00672774],[0.00944881],[-0.05252297],[-3.21135056e-05],0.0,[1.20522631],[1.20522631]
[0.86278026],[0.13721974],[-0.02598043],[1.17391401],[0.00686234],[0.00961735],[-0.4674675],[0.01764824],0.0,[1.17391401],[1.17391401]
[0.72595136],[0.27404864],[0.00668212],[1.18175824],[0.00686735],[0.0096037],[-0.63941506],[0.01622725],0.0,[1.18175824],[1.18175824]
[0.7153087],[0.2846913],[0.00061209],[1.18248158],[0.00684873],[0.00957742],[-0.65689841],[0.01348763],0.0,[1.18248158],[1.18248158]
[0.75871195],[0.24128805],[-0.00210817],[1.17998871],[0.00683354],[0.00955239],[-0.60021039],[0.01087045],0.0,[1.17998871],[1.17998871]
[0.7787435],[0.2212565],[0.00929247],[1.19095371],[0.00687444],[0.00955098],[-0.5681844],[0.01072317],0.0,[1.19095371],[1.19095371]
[0.83682305],[0.16317695],[0.00428404],[1.1960558],[0.00686747],[0.00953003],[-0.49726743],[0.00852701],0.0,[1.1960558],[1.1960558]
[0.79564555],[0.20435445],[0.01371539],[1.21246018],[0.00695501],[0.00955799],[-0.53506049],[0.01145707],0.0,[1.21246018],[1.21246018]
[0.83863687],[0.16136313],[2.99152207e-05],[1.21249645],[0.0069359],[0.00953174],[-0.4851873],[0.00870628],0.0,[1.21249645],[1.21249645]
[0.92247045],[0.07752955],[0.00118724],[1.21393598],[0.00691761],[0.00950596],[-0.39255017],[0.00599826],0.0,[1.21393598],[1.21393598]
[1.0354865],[-0.0354865],[-0.00165145],[1.21193122],[0.0068999],[0.00948064],[-0.27954242],[0.00333069],0.0,[1.21193122],[1.21193122]
[1.1676083],[-0.1676083],[-0.00310996],[1.20816216],[0.00688453],[0.0094574],[-0.16168651],[0.00087661],0.0,[1.20816216],[1.20816216]
[1.26648885],[-0.26648885],[-0.00778133],[1.19876105],[0.00688323],[0.00944901],[-0.08058449],[-1.03505986e-05],0.0,[1.19876105],[1.19876105]
[1.41500938],[-0.41500938],[0.00120841],[1.20020964],[0.00686471],[0.00942348],[0.02760896],[-0.00271605],0.0,[1.20020964],[1.20020964]
1.5,-0.5,[0.0015314],[1.20204764],[0.00684636],[0.00939828],[0.14865486],[-0.00539402],0.0,[1.20204764],[1.20204764]
1.5,-0.5,[0.00055957],[1.20272027],[0.00682762],[0.00937255],[0.27770352],[-0.00813504],0.0,[1.20272027],[1.20272027]
1.5,-0.5,[0.0163605],[1.22239737],[0.00685705],[0.00942504],[0.20262223],[-0.00255082],0.0,[1.22239737],[1.22239737]
1.5,-0.5,[0.00034451],[1.2228185],[0.00683824],[0.00939918],[0.23375956],[-0.00529794],0.0,[1.2228185],[1.2228185]
1.5,-0.5,[0.00555067],[1.22960597],[0.00682511],[0.00938238],[0.29407194],[-0.00708769],0.0,[1.22960597],[1.22960597]
1.5,-0.5,[0.00179469],[1.23181272],[0.00680699],[0.00935755],[0.39047528],[-0.00973757],0.0,[1.23181272],[1.23181272]
1.5,-0.5,[0.00158524],[1.23376545],[0.00678878],[0.00933258],[0.50546805],[-0.01240922],0.0,[1.23376545],[1.23376545]
1.5,-0.5,[-0.00763035],[1.22435139],[0.00678041],[0.00932409],[0.58572153],[-0.0133195],0.0,[1.22435139],[1.22435139]
1.5,-0.5,[0.00877151],[1.2350908],[0.00677588],[0.00932115],[0.63373862],[-0.01363511],0.0,[1.2350908],[1.2350908]
1.5,-0.5,[0.00489248],[1.24113345],[0.00676171],[0.0093026],[0.7075333],[-0.01562656],0.0,[1.24113345],[1.24113345]
1.5,-0.5,[0.01487806],[1.25959911],[0.00678344],[0.00934227],[0.63804209],[-0.01137102],0.0,[1.25959911],[1.25959911]
1.5,-0.5,[0.00339821],[1.2638795],[0.00676697],[0.00932001],[0.66294561],[-0.01375698],0.0,[1.2638795],[1.2638795]
1.5,-0.5,[0.00328888],[1.26803624],[0.00675042],[0.0092976],[0.73558289],[-0.0161644],0.0,[1.26803624],[1.26803624]
1.5,-0.5,[-0.00129209],[1.26639782],[0.00673215],[0.00927255],[0.83933962],[-0.01886193],0.0,[1.26639782],[1.26639782]
1.5,-0.5,[0.01314958],[1.28305042],[0.00674533],[0.00929824],[0.82207008],[-0.01609601],0.0,[1.28305042],[1.28305042]
1.5,-0.5,[-0.00531547],[1.27623041],[0.00673178],[0.00928105],[0.85968949],[-0.01794618],0.0,[1.27623041],[1.27623041]
1.5,-0.5,[0.00134403],[1.2779457],[0.00671365],[0.00925609],[0.92984475],[-0.02063912],0.0,[1.2779457],[1.2779457]
1.5,-0.5,[0.01316946],[1.29477556],[0.00672707],[0.00928206],[0.9108478],[-0.01783702],0.0,[1.29477556],[1.29477556]
1.5,-0.5,[0.00162973],[1.2968857],[0.00670911],[0.00925735],[0.9554239],[-0.02050278],0.0,[1.2968857],[1.2968857]
1.5,-0.5,[-0.00027228],[1.29653258],[0.00669069],[0.00923194],[0.97771195],[-0.02325118],0.0,[1.29653258],[1.29653258]
1.5,-0.5,[-0.01388625],[1.2785286],[0.00670708],[0.00926386],[0.9838523],[-0.01979985],0.0,[1.2785286],[1.2785286]
1.5,-0.5,[0.00366437],[1.28321361],[0.00669121],[0.0092424],[0.99192615],[-0.02211924],0.0,[1.28321361],[1.28321361]
1.5,-0.5,[0.00990436],[1.29592302],[0.00669099],[0.00924616],[0.99596307],[-0.02171238],0.0,[1.29592302],[1.29592302]
1.5,-0.5,[0.0064338],[1.30426073],[0.00668034],[0.00923307],[0.99798154],[-0.02312938],0.0,[1.30426073],[1.30426073]
1.5,-0.5,[0.00690496],[1.31326661],[0.00667089],[0.0092219],[0.99899077],[-0.02433983],0.0,[1.31326661],[1.31326661]
1.5,-0.5,[0.00012575],[1.31343175],[0.00665257],[0.00919657],[0.99949538],[-0.0270901],0.0,[1.31343175],[1.31343175]
1.5,-0.5,[-0.00265218],[1.30994828],[0.00663552],[0.00917341],[0.99974769],[-0.02961152],0.0,[1.30994828],[1.30994828]
1.5,-0.5,[0.00479706],[1.31623218],[0.00662166],[0.00915511],[0.99987385],[-0.03160858],0.0,[1.31623218],[1.31623218]
1.5,-0.5,[-0.01701],[1.29384307],[0.00665623],[0.00921649],[0.99993692],[-0.0249268],0.0,[1.29384307],[1.29384307]
1.5,-0.5,[0.01355079],[1.31137567],[0.00667195],[0.00924581],[0.99996846],[-0.02175007],0.0,[1.31137567],[1.31137567]
1.5,-0.5,[-0.00275318],[1.30776521],[0.00665493],[0.00922267],[0.99998423],[-0.02425632],0.0,[1.30776521],[1.30776521]
1.5,-0.5,[-0.00096891],[1.3064981],[0.0066368],[0.00919761],[0.99999212],[-0.02697665],0.0,[1.3064981],[1.3064981]
1.5,-0.5,[0.01117274],[1.32109526],[0.00664182],[0.00920961],[0.99999606],[-0.02567367],0.0,[1.32109526],[1.32109526]
1.5,-0.5,[-0.00333314],[1.31669186],[0.00662554],[0.00918763],[0.99999803],[-0.02806326],0.0,[1.31669186],[1.31669186]
1.5,-0.5,[0.01259856],[1.33328029],[0.0066369],[0.00920979],[0.99999901],[-0.02565412],0.0,[1.33328029],[1.33328029]
1.5,-0.5,[-7.27777778e-05],[1.33318326],[0.00661866],[0.00918449],[0.99999951],[-0.02840472],0.0,[1.33318326],[1.33318326]
1.5,-0.5,[-0.00262503],[1.32968362],[0.00660169],[0.00916132],[0.99999975],[-0.03093022],0.0,[1.32968362],[1.32968362]
1.5,-0.5,[0.00081269],[1.33076423],[0.0065837],[0.00913635],[0.99999988],[-0.03365928],0.0,[1.33076423],[1.33076423]
1.5,-0.5,[-0.01284828],[1.3136662],[0.00659585],[0.00916082],[0.99999994],[-0.0309846],0.0,[1.3136662],[1.3136662]
1.5,-0.5,[0.00626945],[1.32190217],[0.00658518],[0.00914745],[0.99999997],[-0.03244511],0.0,[1.32190217],[1.32190217]
1.5,-0.5,[0.00525678],[1.32885111],[0.00657237],[0.00913063],[0.99999998],[-0.03428576],0.0,[1.32885111],[1.32885111]
1.5,-0.5,[0.01123702],[1.34378344],[0.00657806],[0.00914351],[0.99999999],[-0.03287607],0.0,[1.34378344],[1.34378344]
1.5,-0.5,[-0.00124462],[1.34211094],[0.00656025],[0.00911886],[1.],[-0.03557573],0.0,[1.34211094],[1.34211094]
1.5,-0.5,[0.00637404],[1.35066561],[0.00654997],[0.00910606],[1.],[-0.03698059],0.0,[1.35066561],[1.35066561]
1.5,-0.5,[0.00109451],[1.35214393],[0.00653223],[0.00908141],[1.],[-0.0396915],0.0,[1.35214393],[1.35214393]
1.5,-0.5,[-0.00541684],[1.34481959],[0.00651963],[0.00906534],[1.],[-0.04146185],0.0,[1.34481959],[1.34481959]
1.5,-0.5,[-0.01616842],[1.32307599],[0.00655012],[0.00911942],[1.],[-0.03551438],0.0,[1.32307599],[1.32307599]
1.5,-0.5,[-0.02758169],[1.28658332],[0.00667188],[0.00932102],[0.84122494],[-0.013649],0.0,[1.28658332],[1.28658332]
1.5,-0.5,[0.01931203],[1.31142985],[0.00672205],[0.00940483],[0.5380401],[-0.00469711],0.0,[1.31142985],[1.31142985]
1.5,-0.5,[0.00240565],[1.31458469],[0.00670471],[0.00938069],[0.45070558],[-0.00726742],0.0,[1.31458469],[1.31458469]
1.5,-0.5,[-0.01690215],[1.29236538],[0.00673773],[0.00943832],[0.25391544],[-0.00114251],0.0,[1.29236538],[1.29236538]
[1.1532576],[-0.1532576],[0.02315469],[1.3222897],[0.00681642],[0.00956738],[-0.18399577],[0.01243814],0.0,[1.3222897],[1.3222897]
[0.9575641],[0.0424359],[0.00695142],[1.3314815],[0.00681244],[0.00955498],[-0.37053361],[0.01114143],0.0,[1.3314815],[1.3314815]
[0.91740786],[0.08259214],[0.0050738],[1.33823717],[0.00680502],[0.00953614],[-0.41446302],[0.00916785],0.0,[1.33823717],[1.33823717]
[0.96384137],[0.03615863],[-0.00046521],[1.3376146],[0.00678644],[0.00951001],[-0.36782308],[0.00642366],0.0,[1.3376146],[1.3376146]
