w,c,r_ind,R_ind,sigma_hat_risky,sigma_hat_ind,kappa,e,kappa_lev,MA_long,MA_short
[1.5],[-0.5],[0.00380404],[1.06844012],[0.00882803],[0.00924509],[0.75325561],[-0.02182833],[0.],[1.01340006],[1.01640372]
[1.5],[-0.5],[0.00239549],[1.07099956],[0.00873947],[0.00915543],[0.8766278],[-0.03157397],[0.],[1.0145919],[1.01788532]
[1.5],[-0.5],[0.0006853],[1.07173352],[0.00865026],[0.00906217],[0.9383139],[-0.0418119],[0.],[1.01575655],[1.01933106]
[1.5],[-0.5],[0.00611056],[1.07828242],[0.00858299],[0.00901241],[0.96915695],[-0.04731794],[0.],[1.01701224],[1.0208974]
[1.5],[-0.5],[-0.00117147],[1.07701924],[0.00849822],[0.00892429],[0.98457848],[-0.05714352],[0.],[1.0182],[1.0223735]
[1.5],[-0.5],[-0.01260643],[1.06344187],[0.00849524],[0.00901056],[0.99228924],[-0.04752396],[0.],[1.01908288],[1.02344305]
[1.5],[-0.5],[0.01845049],[1.08306289],[0.0085861],[0.00928326],[0.93884542],[-0.01770803],[0.],[1.02031415],[1.02498085]
[1.5],[-0.5],[0.00021722],[1.08329815],[0.00850426],[0.00919477],[0.96942271],[-0.02728569],[0.],[1.0215098],[1.02647101]
[1.5],[-0.5],[-0.00932521],[1.07319617],[0.00846626],[0.00919723],[0.98471136],[-0.02701815],[0.],[1.02247792],[1.02765409]
[1.5],[-0.5],[-0.01495573],[1.05714573],[0.00849517],[0.00933596],[0.79353095],[-0.01204701],[0.],[1.02311878],[1.0283942]
[1.5],[-0.5],[0.01070004],[1.06845724],[0.00847321],[0.00936263],[0.62661728],[-0.00919407],[0.],[1.02394614],[1.0293909]
[1.5],[-0.5],[-0.01033864],[1.05741084],[0.00844646],[0.00938112],[0.49385145],[-0.00722171],[0.],[1.02454912],[1.0300821]
[1.5],[-0.5],[-0.0038424],[1.05334785],[0.00837762],[0.00931139],[0.61397966],[-0.01468216],[0.],[1.02506161],[1.03065131]
[1.5],[-0.5],[-0.01043473],[1.04235645],[0.00835385],[0.00933231],[0.61795253],[-0.01243851],[0.],[1.02536564],[1.03093538]
[1.5],[-0.5],[0.00306663],[1.04555298],[0.00828563],[0.00925973],[0.80897627],[-0.02024594],[0.],[1.02571628],[1.03128735]
[1.5],[-0.5],[-0.00387034],[1.04150633],[0.00822084],[0.00919391],[0.90448813],[-0.02737976],[0.],[1.02598732],[1.03153152]
[1.5],[-0.5],[-0.01809055],[1.02266491],[0.00829932],[0.00941523],[0.54205658],[-0.0035925],[0.],[1.02593095],[1.03132124]
[1.01613771],[-0.01613771],[-0.0170302],[1.00524872],[0.0083584],[0.00959294],[-0.10664475],[0.01510692],[0.],[1.02558401],[1.03070742]
[0.73891653],[0.26108347],[0.00941391],[1.01471203],[0.00837428],[0.00959],[-0.42332596],[0.01480014],[0.],[1.02540368],[1.03033353]
[0.72689261],[0.27310739],[-0.00542803],[1.00920415],[0.00835935],[0.00953639],[-0.44151608],[0.00919412],[0.],[1.02513792],[1.02984306]
[0.89006181],[0.10993819],[-0.00065553],[1.00854259],[0.00829217],[0.00945906],[-0.24707337],[0.00105261],[0.],[1.02486862],[1.02935199]
[1.19222385],[-0.19222385],[0.00251564],[1.01107972],[0.008233],[0.00938823],[0.03805065],[-0.00646349],[0.],[1.02464723],[1.02893352]
[1.28703364],[-0.28703364],[-0.01080757],[1.00015241],[0.00824637],[0.00941246],[0.11619235],[-0.00388668],[0.],[1.02425807],[1.02827867]
[1.19538883],[-0.19538883],[-0.01178719],[0.98836342],[0.00826079],[0.00945441],[0.04407089],[0.00056101],[0.],[1.02369367],[1.02737625]
[1.41263861],[-0.41263861],[0.00061907],[0.98897529],[0.00819653],[0.00938087],[0.20324991],[-0.00724858],[0.],[1.02315329],[1.02651344]
[0.73487777],[0.26512223],[0.03287028],[1.02148318],[0.00863304],[0.01016335],[-0.39837504],[0.07286724],[0.],[1.02312755],[1.0264011]
[0.53423416],[0.46576584],[-0.01166717],[1.00956536],[0.00879035],[0.01018796],[-0.69918752],[0.07528603],[0.],[1.02292062],[1.02602736]
[0.46307954],[0.53692046],[0.00072525],[1.01029755],[0.00872492],[0.01011109],[-0.84959376],[0.06771214],[0.],[1.02272989],[1.02568018]
[0.42835038],[0.57164962],[-0.00463114],[1.00561872],[0.00874898],[0.01005112],[-0.92479688],[0.06176367],[0.],[1.0224738],[1.02523992]
[0.41244527],[0.58755473],[0.00391031],[1.00955101],[0.00875105],[0.00998769],[-0.96239844],[0.05543291],[0.],[1.02228221],[1.02489752]
[0.40705695],[0.59294305],[0.00185631],[1.01142504],[0.00870175],[0.00991662],[-0.98119922],[0.04829163],[0.],[1.02212274],[1.02460509]
[0.38799279],[0.61200721],[-0.00893116],[1.00239184],[0.00904389],[0.00990298],[-0.99059961],[0.04691525],[0.],[1.02183556],[1.0241255]
[0.38800928],[0.61199072],[-0.00195319],[1.00043398],[0.0090011],[0.0098341],[-0.99529981],[0.03993546],[0.],[1.02152687],[1.02361665]
[0.38063097],[0.61936903],[-0.00632564],[0.9941056],[0.00915404],[0.00979281],[-0.9976499],[0.03572732],[0.],[1.02113486],[1.02298602]
[0.38024001],[0.61975999],[-0.00333675],[0.99078852],[0.0091527],[0.00973128],[-0.99882495],[0.02942485],[0.],[1.02070482],[1.02230142]
[0.36462284],[0.63537716],[-0.0091861],[0.98168704],[0.00953911],[0.00972383],[-0.99941248],[0.02865923],[0.],[1.02015666],[1.02144205]
[0.34419602],[0.65580398],[0.01096142],[0.99244772],[0.01010225],[0.00974215],[-0.99970624],[0.0305414],[0.],[1.01977068],[1.02083148]
[0.34595318],[0.65404682],[0.00184258],[0.99427639],[0.01004947],[0.00967706],[-0.99985312],[0.02383714],[0.],[1.01941852],[1.02027489]
[0.3371026],[0.6628974],[-0.00755677],[0.98676287],[0.01031256],[0.00965116],[-0.99992656],[0.02115726],[0.],[1.01897117],[1.01957569]
[0.39098637],[0.60901363],[-0.00046491],[0.98630412],[0.01024425],[0.00958552],[-0.85828641],[0.01433293],[0.],[1.0185273],[1.01888461]
[0.34478532],[0.65521468],[0.0129396],[0.9990665],[0.01086467],[0.00963849],[-0.92523737],[0.01984377],[0.],[1.01826501],[1.01847478]
[0.39083495],[0.60916505],[0.00267285],[1.00173686],[0.01082575],[0.00957882],[-0.80346339],[0.01363379],[0.],[1.018044],[1.01813013]
[0.49212929],[0.50787071],[0.00137349],[1.00311274],[0.01076014],[0.00951638],[-0.5790864],[0.00709419],[-0.00046575],[1.01784591],[1.01782221]
