P10,P50,P90
14.109239973598617,14.979686442284283,15.856127413592176
14.103260451726749,14.979475875807111,15.851184573873804
14.111579289712878,14.97735738482459,15.850897682405297
14.119195015252819,14.974362977556357,15.844925594357916
14.12612429772581,14.974718619731387,15.84551244082673
14.125901963540736,14.972325781230898,15.845008277471138
14.12009250989951,14.97067165498368,15.841650504140617
14.126454072035266,14.97292576963656,15.839793752657783
14.133965525985914,14.973023967973893,15.832679979761721
14.13263148522458,14.972512433952552,15.837691937891343
14.131604462899086,14.97218957775701,15.836985753051566
14.126845340858457,14.969532870406475,15.832890987966804
14.127717498852896,14.971597285789066,15.830384748050136
14.130323333016397,14.97800656820769,15.835710912421863
14.137729498415123,14.971274297366964,15.831775024160644
14.134914083733488,14.968058676424862,15.827359797719462
14.138851339541844,14.967285158738825,15.830789013665594
14.13601128208255,14.96900894866317,15.82637486631672
14.14006636425207,14.970427343581946,15.825789559537458
14.138363743076345,14.969797457763327,15.820089460070724
14.135957677195309,14.972480011094447,15.829889401451673
14.137736793384054,14.972381476533148,15.822640701037681
14.134695075204698,14.970560977402304,15.81483169585242
14.145789065791417,14.972382871527909,15.816263474981575
14.138179599246072,14.97462519842384,15.821068084140439
14.134342041083816,14.974743116309183,15.821661132458727
14.131012880790836,14.970425759232171,15.824250620213162
14.129377258915111,14.967226701765934,15.8269713868767
14.135937558431632,14.966526159140761,15.828662113743075
14.13526712706815,14.968313335662877,15.825752915953672
14.135844226437433,14.970620149765214,15.828057660761235
14.135510267737875,14.969478729495838,15.823733316636433
14.139986950383738,14.968840907193528,15.823765660517031
14.138752644521588,14.967657852039824,15.820054430574231
14.138874373163945,14.964794957084282,15.823986198361064
14.137648821780298,14.96585846096377,15.820191285670147
14.136052675500196,14.964963821219936,15.817758551396292
14.13774202214388,14.966652054170936,15.817971149858527
14.141105056958029,14.970292882670199,15.816717697629011
14.142345415894612,14.973214425280663,15.810204460923531
14.142758772970438,14.9702119569011,15.816349993470892
14.134769475265966,14.965726133402228,15.818196946496055
14.139417028449493,14.968158348399065,15.80959218423401
14.13704339537451,14.967499636055067,15.808016522979102
14.143499191844105,14.966997216442941,15.806555271082695
14.140839403751793,14.971884342612377,15.810241961086083
14.14172834960728,14.971638662095554,15.81044826519671
14.146534438764666,14.971449867481596,15.808295054561826
14.144967927081707,14.972464666100066,15.806104917029256
14.147116588023351,14.974958570558474,15.809616101232107
14.152027041222231,14.972799636757607,15.801415269044803
14.155518022186156,14.973331397806152,15.806644750451639
14.159619030971509,14.97201991424376,15.808318865393117
14.164207391340806,14.972646290352285,15.799939464903272
14.15818358635719,14.968289461680822,15.806392110201969
14.162887109225121,14.966002472926647,15.801141800570417
14.164738430317371,14.970768936634549,15.794239905545908
14.168395340603015,14.970463703440483,15.789865788908354
14.16234929593812,14.974078462014495,15.798000750681572
14.165031113171022,14.96916692403854,15.80049101632609
14.165844469961625,14.973820664895108,15.79520788391861
14.164717239629448,14.971629294756262,15.792132678524535
14.162069580384955,14.971220121782475,15.798979068092057
14.164169607667757,14.97168606437652,15.801798916684746
14.164132139034246,14.971399956345012,15.79931568995822
14.163124298157495,14.971967896913673,15.798554504059423
14.16164275620995,14.96906010608033,15.793869518626112
14.160607751375448,14.971771676870484,15.791831524262484
14.1590545445034,14.976305247037505,15.795140604755977
14.16367477204779,14.975329629862184,15.79285721044125
14.163506624425995,14.975304524700928,15.793464538754684
14.16621226424127,14.98021969559151,15.791793941209825
14.164371255974409,14.976860230054015,15.796806948548896
14.159915208063882,14.978919750625737,15.790734144089875
14.169834038819674,14.974120314135904,15.788194324681335
14.179937740648047,14.972421804093308,15.785386596708765
14.174362676658095,14.975912408844447,15.787253512564387
14.177341994830378,14.978296593516461,15.791130621371982
14.180987154652136,14.975415346495282,15.787463672831851
14.177574585045875,14.976409180864232,15.781507925153305
14.181280711965409,14.974826430275943,15.777555165263745
14.185984996913945,14.974059847208146,15.777299729700143
14.181243387158652,14.973807202001755,15.784607071547468
14.174434019724654,14.970929178352765,15.788756703639544
14.182999551255195,14.975289204102978,15.78754593457287
14.178592807675535,14.973707985092052,15.789181099334579
14.177407782389915,14.972314881247037,15.78621708879942
14.17671739474217,14.972966363754349,15.786933947043371
14.173402840917223,14.972570502152662,15.78772301406053
14.17622329645956,14.972315963795909,15.78164611374782
14.175378781693325,14.973083356698773,15.777016119253659
14.181914340864674,14.97129054585482,15.778201804949227
14.178820641521945,14.976354355036491,15.777807839040015
14.182627052290028,14.974593644925825,15.775846637500198
